NO,RGN_SORT,ENG_CLSF,USE_CLSF,YR_2019,YR_2018,YR_2017,YR_2016,YR_2015,UNIT
125,대구,우드칩,사업용,"15,618 ","16,503 ","14,843 ","13,399 ","12,710 ",MWh
126,대구,우드칩,자가용,-,-,-,-,-,MWh
127,대구,목재펠릿,사업용,-,-,-,-,-,MWh
128,대구,목재펠릿,자가용,-,-,-,-,-,MWh
129,대구,폐목재,사업용,-,-,-,-,-,MWh
130,대구,폐목재,자가용,-,-,-,-,-,MWh
131,대구,흑액,자가용,-,-,-,-,-,MWh
132,대구,하수슬러지고형연료,사업용,-,-,-,-,-,MWh
133,대구,Bio-SRF,사업용,-,-,-,-,"1,174 ",MWh
134,대구,Bio-SRF,자가용,-,-,-,-,-,MWh
135,대구,바이오중유,사업용,-,"1,717 ","2,514 ","2,495 ",61 ,MWh
136,대구,폐가스,사업용,-,-,-,-,-,MWh
137,대구,폐가스,자가용,-,-,-,-,-,MWh
138,대구,산업폐기물,사업용,-,-,-,-,-,MWh
139,대구,산업폐기물,자가용,-,-,-,-,-,MWh
140,대구,생활폐기물,사업용,-,-,-,-,-,MWh
141,대구,생활폐기물,자가용,"2,125 ","6,607 ","6,999 ","11,434 ","11,878 ",MWh
142,대구,SRF,사업용,-,-,-,-,-,MWh
143,대구,SRF,자가용,-,"10,175 ","7,792 ",-,-,MWh
144,대구,시멘트킬른보조연료,자가용,-,-,-,-,-,MWh
145,대구,정제연료유,사업용,-,-,-,-,-,MWh
146,대구,연료전지,사업용,"31,501 ","40,076 ","40,631 ","51,023 ","45,749 ",MWh
147,대구,연료전지,자가용,"2,213 ","1,625 ","1,069 ",631 ,317 ,MWh
148,대구,IGCC,사업용,-,-,-,-,-,MWh
149,인천,신재생에너지 총발전량,사업용,"1,017,964 ","681,748 ","599,207 ","933,797 ","838,658 ",MWh
150,인천,신재생에너지 총발전량,자가용,"53,747 ","46,298 ","40,695 ","33,064 ","28,049 ",MWh
151,인천,태양광,사업용,"81,892 ","65,488 ","49,174 ","32,602 ","29,268 ",MWh
152,인천,태양광,자가용,"52,072 ","43,536 ","35,670 ","26,025 ","21,970 ",MWh
153,인천,풍력,사업용,"43,658 ","42,745 ","51,691 ","48,642 ","51,791 ",MWh
154,인천,풍력,자가용,179 ,196 ,137 ,78 ,78 ,MWh
155,인천,수력,사업용,"39,663 ","34,599 ","44,232 ","42,852 ","40,333 ",MWh
156,인천,수력,자가용,290 ,571 ,863 ,566 ,574 ,MWh
157,인천,해양,사업용,-,-,-,-,-,MWh
158,인천,바이오가스,사업용,"18,270 ","10,509 ","9,813 ","8,898 ","9,122 ",MWh
159,인천,바이오가스,자가용,-,-,-,-,-,MWh
160,인천,매립지가스,사업용,"211,883 ","213,783 ","221,244 ","202,857 ","208,360 ",MWh
161,인천,매립지가스,자가용,-,-,-,-,-,MWh
162,인천,우드칩,사업용,"11,415 ","21,341 ","13,914 ","4,105 ","12,905 ",MWh
163,인천,우드칩,자가용,-,-,-,-,-,MWh
164,인천,목재펠릿,사업용,-,-,"21,470 ","414,081 ","363,045 ",MWh
165,인천,목재펠릿,자가용,-,-,-,-,-,MWh
166,인천,폐목재,사업용,-,-,-,-,-,MWh
167,인천,폐목재,자가용,-,-,-,-,-,MWh
168,인천,흑액,자가용,-,-,-,-,-,MWh
169,인천,하수슬러지고형연료,사업용,-,-,-,-,-,MWh
170,인천,Bio-SRF,사업용,"24,016 ","16,807 ","15,796 ","17,704 ",-,MWh
171,인천,Bio-SRF,자가용,-,-,-,-,-,MWh
172,인천,바이오중유,사업용,-,-,-,-,-,MWh
173,인천,폐가스,사업용,-,-,-,-,-,MWh
174,인천,폐가스,자가용,-,-,-,-,-,MWh
175,인천,산업폐기물,사업용,"25,326 ","40,141 ","20,826 ","12,448 ",-,MWh
176,인천,산업폐기물,자가용,-,-,-,-,-,MWh
177,인천,생활폐기물,사업용,-,-,"20,829 ","20,372 ","21,008 ",MWh
178,인천,생활폐기물,자가용,-,"1,045 ","3,160 ","5,607 ","4,705 ",MWh
179,인천,SRF,사업용,-,-,-,-,-,MWh
180,인천,SRF,자가용,-,-,-,-,-,MWh
181,인천,시멘트킬른보조연료,자가용,-,-,-,-,-,MWh
182,인천,정제연료유,사업용,-,"29,497 ","12,590 ","17,061 ","15,817 ",MWh
