구,행정동,총사업체수,총종사자수,총여성종사자,자영업주_및_무급가족_소계,자영업주_및_무급가족_여성종사자,상용근로자_소계,상용근로자_여성종사자,임시_및_일용근로자_소계,임시_및_일용근로자_여성종사자,기타종사자_소계,기타종사자_여성종사자
노원구,하계1동,"1,088","7,931","4,090",984,415,"5,666","2,807",983,607,298,261
노원구,하계2동,414,"1,220",744,448,159,660,506,96,67,16,12
노원구,중계본동,"1,205","5,602","2,982","1,197",531,"2,502","1,360","1,443",859,460,232
노원구,중계1동,"1,050","4,205","2,324","1,022",489,"1,950","1,111",740,469,493,255
노원구,중계4동,"1,059","3,923","2,274","1,140",520,"1,927","1,140",674,472,182,142
노원구,상계1동,"3,183","9,518","4,361","3,144",809,"4,653","2,508",988,608,733,436
노원구,상계2동,"2,668","10,536","6,216","2,579","1,269","5,146","3,210","2,010","1,223",801,514
노원구,상계5동,"1,567","4,936","2,620","1,649",724,"2,419","1,389",727,449,141,58
노원구,상계8동,484,"1,697","1,115",527,256,"1,015",764,136,76,19,19
노원구,상계9동,698,"2,520","1,460",719,294,"1,331",835,304,208,166,123
노원구,상계10동,515,"2,188",928,482,155,"1,482",605,157,105,67,63
노원구,상계3.4동,"1,196","3,787","1,571","1,197",497,"2,173",832,367,207,50,35
노원구,상계6.7동,"1,921","15,772","9,962","1,789",789,"9,425","5,800","2,105","1,280","2,453","2,093"
노원구,중계2.3동,"1,382","5,153","3,072","1,397",648,"2,459","1,474","1,158",855,139,95
노원구,공릉1동,"2,841","11,948","5,947","2,797","1,163","6,694","3,262","1,656",922,801,600
은평구,소계,"24,681","93,631","49,801","25,077","10,645","51,423","29,060","13,261","7,245","3,870","2,851"
은평구,녹번동,"1,962","9,531","4,878","1,757",678,"6,224","3,389","1,353",644,197,167
은평구,불광1동,"1,627","7,034","4,442","1,725",806,"3,428","2,135",845,534,"1,036",967
은평구,갈현1동,"1,498","4,881","2,683","1,640",707,"2,165","1,324",729,376,347,276
은평구,갈현2동,"1,579","5,985","3,513","1,774",793,"3,107","1,972",941,635,163,113
은평구,구산동,"1,216","5,509","2,965","1,170",414,"3,625","2,224",503,254,211,73
은평구,대조동,"2,430","7,864","4,507","2,612","1,325","3,484","2,070","1,376",798,392,314
은평구,응암1동,"1,661","7,831","4,083","1,585",701,"4,368","2,501","1,501",671,377,210
은평구,응암2동,707,"2,102","1,216",739,341,"1,084",712,241,141,38,22
은평구,신사1동,"1,347","4,066","1,973","1,349",539,"1,812",979,844,420,61,35
은평구,신사2동,"1,704","3,716","1,371","1,680",294,"1,567",773,301,161,168,143
은평구,증산동,945,"3,619","1,450",912,392,"2,107",801,436,181,164,76
은평구,수색동,514,"2,264",781,500,201,"1,595",490,139,76,30,14
은평구,진관동,"1,894","12,366","7,074","1,706",822,"8,903","5,027","1,516","1,048",241,177
은평구,불광2동,"1,295","3,943","2,083","1,387",630,"1,962","1,120",477,246,117,87
은평구,응암3동,"1,768","5,142","2,734","1,998",921,"2,104","1,316",985,463,55,34
은평구,역촌동,"2,534","7,778","4,048","2,543","1,081","3,888","2,227","1,074",597,273,143
서대문구,소계,"20,095","113,819","57,853","19,627","8,406","74,609","38,681","15,018","8,138","4,565","2,628"
서대문구,천연동,915,"3,069","1,581",951,455,"1,636",860,337,199,145,67
서대문구,홍제1동,"1,154","4,827","2,313","1,156",518,"1,924","1,130","1,394",403,353,262
서대문구,홍제3동,"1,157","3,687","2,144","1,272",585,"1,885","1,255",393,219,137,85
서대문구,홍제2동,594,"1,699",873,600,295,848,407,215,143,36,28
서대문구,홍은1동,999,"2,658","1,441","1,041",466,"1,256",739,315,202,46,34
서대문구,홍은2동,"1,219","5,414","2,571","1,241",469,"3,296","1,582",687,380,190,140
서대문구,남가좌1동,691,"2,204","1,412",753,383,"1,078",776,340,220,33,33
서대문구,남가좌2동,"1,310","5,271","2,712","1,392",621,"2,265","1,235","1,582",831,32,25
서대문구,북가좌1동,681,"3,173","1,207",651,242,"1,804",752,360,187,358,26
서대문구,북가좌2동,"2,443","6,752","2,957","2,558",779,"2,475","1,132","1,335",743,384,303
서대문구,충현동,"1,817","24,246","10,266","1,354",575,"19,830","8,250","1,410",564,"1,652",877
서대문구,북아현동,862,"2,420","1,301",930,425,"1,117",636,277,173,96,67
서대문구,신촌동,"3,901","37,647","21,871","3,497","1,614","28,416","16,616","5,030","3,200",704,441
서대문구,연희동,"2,352","10,752","5,204","2,231",979,"6,779","3,311","1,343",674,399,240
마포구,소계,"37,290","247,276","114,718","30,312","13,247","172,672","78,184","34,125","16,811","10,167","6,476"
마포구,용강동,"2,566","18,813","8,595","1,694",759,"12,421","5,645","4,393","2,074",305,117
마포구,대흥동,"1,571","10,097","5,134","1,417",628,"6,235","2,780","1,496",991,949,735
마포구,염리동,726,"4,383","2,095",668,331,"3,306","1,512",354,233,55,19
마포구,신수동,"1,209","5,549","2,676","1,045",413,"3,889","1,974",487,207,128,82
마포구,서교동,"9,552","57,173","29,389","7,173","3,062","38,532","19,389","7,842","4,337","3,626","2,601"
마포구,합정동,"2,397","11,154","5,431","1,849",781,"6,733","3,287","2,117","1,048",455,315
마포구,망원1동,"1,899","5,293","2,453","1,930",718,"2,257","1,167",855,434,251,134
마포구,망원2동,"1,348","4,505","2,093","1,399",658,"2,146","1,012",645,331,315,92
마포구,연남동,"1,915","6,911","3,172","1,744",771,"4,049","1,897","1,041",463,77,41
마포구,성산1동,"1,534","11,155","3,328","1,137",430,"6,715","2,177","2,532",478,771,243
마포구,성산2동,"1,757","11,682","5,939","1,621",709,"8,119","4,260","1,762",837,180,133
마포구,상암동,"2,531","41,880","17,407","1,787",820,"37,317","14,992","2,400","1,331",376,264
마포구,도화동,"2,082","16,774","7,727","1,450",666,"12,844","5,346","1,608","1,065",872,650
마포구,서강동,"1,828","12,774","5,916","1,619",705,"8,387","3,843","2,314","1,102",454,266
마포구,공덕동,"2,756","18,197","8,298","2,539","1,188","10,846","5,001","3,684","1,486","1,128",623
마포구,아현동,"1,619","10,936","5,065","1,240",608,"8,876","3,902",595,394,225,161
양천구,소계,"25,894","121,582","58,483","25,290","10,912","69,439","33,724","18,373","8,975","8,480","4,872"
양천구,목1동,"2,872","21,666","10,906","2,216","1,150","15,123","6,875","2,990","1,872","1,337","1,009"
양천구,목2동,"1,196","4,523","2,154","1,205",551,"2,394","1,209",824,337,100,57
양천구,목3동,"1,282","4,740","2,542","1,383",665,"2,487","1,428",757,351,113,98
양천구,목4동,"1,347","3,945","2,126","1,434",701,"1,523",786,661,403,327,236
양천구,신월1동,"1,765","5,183","2,355","1,962",826,"2,350","1,117",696,279,175,133
양천구,신월2동,"1,175","3,943","1,839","1,165",424,"1,975",987,542,206,261,222
양천구,신월3동,958,"4,019","1,663",920,344,"2,594","1,123",349,149,156,47
양천구,신월4동,"1,166","4,255","1,814","1,197",459,"2,188",964,554,220,316,171
양천구,신월5동,994,"4,849","1,968","1,031",431,"2,886","1,114",827,370,105,53
양천구,신월6동,"1,336","3,129",911,"1,335",204,"1,016",499,309,168,469,40
양천구,신월7동,"1,324","5,406","1,913","1,377",540,"3,525","1,129",408,176,96,68
양천구,신정1동,"1,175","5,322","2,855","1,244",655,"3,091","1,610",711,349,276,241
양천구,신정2동,"1,091","3,806","2,103","1,143",551,"1,940","1,186",510,274,213,92
양천구,신정3동,"1,814","9,284","3,976","1,608",593,"5,535","2,489","1,485",706,656,188
양천구,신정6동,714,"6,916","3,727",649,332,"4,561","2,393",783,450,923,552
양천구,신정7동,"1,030","4,457","2,109","1,011",449,"2,640","1,113",475,325,331,222
양천구,목5동,"1,565","10,700","6,438","1,409",756,"6,847","4,186","1,977","1,270",467,226
양천구,신정4동,"3,090","15,439","7,084","3,001","1,281","6,764","3,516","3,515","1,070","2,159","1,217"
강서구,소계,"39,458","257,494","115,285","34,516","14,361","179,972","79,041","32,103","15,556","10,903","6,327"
강서구,염창동,"2,170","17,152","6,906","1,681",777,"12,179","4,858","2,662",950,630,321
강서구,등촌1동,"1,812","15,763","6,607","1,436",618,"11,219","4,609","2,517","1,057",591,323
강서구,등촌2동,737,"3,541","1,771",676,267,"2,440","1,238",341,197,84,69
강서구,등촌3동,"2,533","19,252","10,413","2,008",925,"13,171","6,736","3,206","2,125",867,627
강서구,화곡본동,"1,389","4,179","2,416","1,490",636,"2,061","1,338",419,265,209,177
강서구,화곡2동,855,"2,732","1,327",788,307,"1,548",833,374,172,22,15
강서구,화곡3동,"1,222","4,170","2,380","1,290",591,"1,708","1,100",855,469,317,220
강서구,화곡4동,"1,469","3,988","2,033","1,570",681,"1,848","1,029",476,262,94,61
강서구,화곡6동,"1,749","10,847","4,749","1,669",727,"6,160","2,530","2,334","1,002",684,490
강서구,화곡8동,"1,275","4,167","2,434","1,356",606,"1,793","1,153",803,508,215,167
강서구,가양1동,"5,790","56,353","19,376","3,870","1,634","44,872","14,305","4,457","2,034","3,154","1,403"
강서구,가양2동,633,"3,383","1,646",510,199,"2,399","1,161",340,199,134,87
강서구,가양3동,904,"7,374","2,841",540,168,"5,491","2,222","1,128",353,215,98
강서구,발산1동,"3,375","19,865","9,215","2,675","1,091","13,556","6,146","2,613","1,421","1,021",557
강서구,공항동,"2,040","36,149","18,219","1,766",748,"32,437","16,494","1,740",902,206,75
강서구,방화1동,"2,621","11,003","5,774","2,580","1,122","6,656","3,535","1,197",784,570,333
강서구,방화2동,"3,279","14,018","5,508","2,971",816,"8,864","3,596","1,982",968,201,128
강서구,방화3동,893,"4,698","2,127",829,295,"2,813","1,140",454,285,602,407
강서구,화곡1동,"3,048","10,879","5,032","3,160","1,372","4,201","2,347","3,055","1,057",463,256
강서구,우장산동,"1,664","7,981","4,511","1,651",781,"4,556","2,671","1,150",546,624,513
구로구,소계,"38,756","225,668","96,946","32,537","12,291","159,631","67,904","26,241","12,305","7,259","4,446"
구로구,신도림동,"2,784","15,121","7,719","2,335",854,"9,921","5,175","1,702",919,"1,163",771
구로구,구로1동,728,"3,603","1,731",728,307,"1,592",748,"1,251",655,32,21
구로구,구로3동,"7,883","92,379","35,909","3,516","1,359","78,786","30,450","8,013","3,201","2,064",899
구로구,구로4동,"2,133","6,044","3,360","2,378","1,238","2,613","1,461",851,509,202,152
구로구,구로5동,"4,477","26,529","11,628","3,892","1,198","16,129","7,238","4,344","1,693","2,164","1,499"
구로구,고척1동,"2,541","10,116","4,350","2,539",857,"5,683","2,597","1,610",742,284,154
구로구,고척2동,"1,460","4,177","2,165","1,526",636,"1,912","1,137",649,357,90,35
구로구,개봉2동,"1,212","3,361","1,857","1,333",572,"1,342",860,542,311,144,114
구로구,개봉3동,"1,020","7,391","3,286","1,063",464,"5,835","2,551",468,261,25,10
구로구,오류1동,"1,187","4,795","2,481","1,195",539,"2,618","1,403",906,490,76,49
구로구,오류2동,"1,729","9,157","3,949","1,615",622,"6,200","2,654","1,250",619,92,54
구로구,수궁동,"1,258","6,199","2,426","1,160",415,"4,135","1,514",832,448,72,49
