구,행정동,사업체수,종사자수,평균종사자,사업체_평균연령
동작구,사당2동,"1,633","6,712",4.11,9년5개월
관악구,소계,"25,505","115,329",4.52,8년11개월
관악구,보라매동,"1,367","6,557",4.8,8년5개월
관악구,청림동,451,"1,385",3.07,9년5개월
관악구,행운동,"1,372","6,845",4.99,8년9개월
관악구,낙성대동,"1,296","7,867",6.07,7년3개월
관악구,중앙동,965,"5,516",5.72,8년11개월
관악구,인헌동,"1,053","3,578",3.4,9년1개월
관악구,남현동,872,"4,957",5.68,8년7개월
관악구,서원동,"1,279","7,459",5.83,7년10개월
관악구,신원동,814,"2,356",2.89,8년12개월
관악구,서림동,"1,115","3,245",2.91,11년3개월
관악구,신사동,"1,359","4,356",3.21,8년8개월
관악구,신림동,"1,687","6,638",3.93,6년7개월
관악구,난향동,397,"1,886",4.75,9년8개월
관악구,조원동,"2,150","7,116",3.31,9년5개월
관악구,대학동,"1,636","15,017",9.18,8년5개월
관악구,은천동,"1,562","6,658",4.26,9년5개월
관악구,성현동,821,"2,951",3.59,9년1개월
관악구,청룡동,"1,855","10,350",5.58,9년1개월
관악구,난곡동,954,"2,452",2.57,9년11개월
관악구,삼성동,"1,010","2,618",2.59,11년6개월
관악구,미성동,"1,490","5,522",3.71,9년6개월
서초구,소계,"46,940","438,985",9.35,9년3개월
서초구,서초1동,"3,811","32,022",8.4,9년4개월
서초구,서초2동,"5,072","53,003",10.45,7년3개월
서초구,서초3동,"7,725","81,064",10.49,9년2개월
서초구,서초4동,"3,012","28,529",9.47,8년2개월
서초구,잠원동,"2,199","18,054",8.21,8년2개월
서초구,반포본동,665,"2,326",3.5,11년2개월
서초구,반포1동,"1,737","10,255",5.9,7년1개월
서초구,반포2동,306,"2,142",7,9년11개월
서초구,반포3동,964,"7,502",7.78,9년6개월
서초구,반포4동,"3,291","29,877",9.08,10년10개월
서초구,방배본동,"1,623","10,497",6.47,9년1개월
서초구,방배1동,"1,907","16,332",8.56,8년9개월
서초구,방배2동,"1,852","17,806",9.61,9년0개월
서초구,방배3동,"1,186","13,826",11.66,12년5개월
서초구,방배4동,"2,149","14,635",6.81,9년9개월
서초구,양재1동,"3,616","44,006",12.17,10년1개월
서초구,양재2동,"4,989","48,262",9.67,10년8개월
서초구,내곡동,836,"8,847",10.58,10년12개월
강남구,소계,"71,027","698,840",9.84,8년7개월
강남구,신사동,"4,140","26,210",6.33,7년5개월
강남구,논현1동,"5,309","41,829",7.88,7년12개월
강남구,논현2동,"5,596","62,264",11.13,8년3개월
강남구,삼성1동,"4,079","63,573",15.59,8년7개월
강남구,삼성2동,"3,661","37,531",10.25,7년9개월
강남구,대치1동,"1,068","6,451",6.04,8년5개월
강남구,대치4동,"3,677","31,920",8.68,7년1개월
강남구,역삼1동,"15,451","155,883",10.09,7년3개월
강남구,역삼2동,"3,775","38,437",10.18,8년1개월
강남구,도곡1동,"1,596","17,066",10.69,8년8개월
강남구,도곡2동,"1,828","19,895",10.88,9년3개월
강남구,개포1동,169,875,5.18,13년8개월
강남구,개포4동,"1,884","10,524",5.59,10년6개월
강남구,일원본동,500,"9,755",19.51,10년4개월
강남구,일원1동,"2,123","6,888",3.24,23년3개월
강남구,일원2동,564,"9,506",16.85,12년8개월
강남구,수서동,"1,504","18,055",12,10년8개월
강남구,세곡동,"1,338","7,062",5.28,9년3개월
강남구,압구정동,"3,919","29,427",7.51,8년4개월
강남구,청담동,"4,212","38,137",9.05,7년11개월
강남구,대치2동,"3,897","64,496",16.55,8년5개월
강남구,개포2동,737,"3,056",4.15,10년8개월
송파구,소계,"48,644","341,201",7.01,9년3개월
송파구,풍납1동,730,"2,489",3.41,11년1개월
송파구,풍납2동,"1,151","16,316",14.18,10년11개월
송파구,거여1동,826,"3,649",4.42,10년4개월
송파구,거여2동,841,"4,560",5.42,10년7개월
송파구,마천1동,994,"2,411",2.43,10년5개월
송파구,마천2동,"1,350","4,236",3.14,10년8개월
송파구,방이1동,"1,317","8,454",6.42,8년12개월
송파구,방이2동,"3,125","19,808",6.34,8년2개월
송파구,오륜동,496,"5,724",11.54,13년8개월
송파구,오금동,"2,397","16,687",6.96,9년12개월
송파구,송파1동,"2,509","14,692",5.86,10년1개월
송파구,송파2동,836,"4,149",4.96,9년2개월
송파구,석촌동,"2,666","15,306",5.74,8년7개월
송파구,삼전동,"2,028","11,418",5.63,8년11개월
송파구,가락본동,"3,489","25,440",7.29,8년7개월
송파구,가락1동,"2,988","11,391",3.81,14년2개월
송파구,가락2동,"1,901","9,763",5.14,9년7개월
송파구,문정1동,"1,295","6,194",4.78,8년11개월
송파구,문정2동,"7,131","59,850",8.39,7년1개월
송파구,장지동,"1,337","9,229",6.9,9년6개월
송파구,위례동,667,"3,859",5.79,4년1개월
송파구,잠실본동,"3,042","19,197",6.31,8년2개월
송파구,잠실4동,383,"1,696",4.43,7년11개월
송파구,잠실6동,"2,629","49,280",18.74,10년7개월
송파구,잠실7동,196,"1,284",6.55,12년12개월
송파구,잠실2동,777,"4,583",5.9,7년2개월
송파구,잠실3동,"1,543","9,536",6.18,7년11개월
강동구,소계,"29,080","141,770",4.88,9년5개월
강동구,강일동,962,"17,586",18.28,8년5개월
강동구,상일동,918,"5,176",5.64,10년6개월
강동구,명일1동,"1,739","6,643",3.82,9년2개월
강동구,명일2동,987,"3,944",4,8년5개월
강동구,고덕1동,732,"2,670",3.65,9년8개월
강동구,고덕2동,677,"2,548",3.76,8년10개월
강동구,암사2동,838,"3,711",4.43,9년3개월
강동구,암사3동,576,"2,185",3.79,10년3개월
강동구,천호1동,"1,534","5,332",3.48,9년11개월
강동구,천호3동,"1,830","7,474",4.08,8년9개월
강동구,성내1동,"2,048","17,777",8.68,9년10개월
강동구,성내2동,"1,836","6,770",3.69,8년8개월
강동구,성내3동,"2,439","9,117",3.74,8년8개월
강동구,둔촌1동,17,283,16.65,19년4개월
강동구,둔촌2동,"1,553","9,463",6.09,9년10개월
강동구,암사1동,"1,918","5,646",2.94,8년11개월
강동구,천호2동,"3,439","14,208",4.13,8년5개월
강동구,길동,"5,037","21,237",4.22,11년2개월
