구,행정동,사업체수,종사자수,평균종사자,사업체밀도,종사자밀도,인구밀도,종사자밀도비
서대문구,천연동,915,"3,069",3.35,943,"3,164","19,282",16.41
서대문구,홍제1동,"1,154","4,827",4.18,938,"3,924","20,323",19.31
서대문구,홍제3동,"1,157","3,687",3.19,"1,428","4,552","20,272",22.45
서대문구,홍제2동,594,"1,699",2.86,566,"1,618","13,876",11.66
서대문구,홍은1동,999,"2,658",2.66,632,"1,682","14,495",11.61
서대문구,홍은2동,"1,219","5,414",4.44,592,"2,628","13,783",19.07
서대문구,남가좌1동,691,"2,204",3.19,"1,355","4,322","33,173",13.03
서대문구,남가좌2동,"1,310","5,271",4.02,"1,701","6,845","33,697",20.31
서대문구,북가좌1동,681,"3,173",4.66,"1,238","5,769","34,836",16.56
서대문구,북가좌2동,"2,443","6,752",2.76,"2,908","8,038","40,250",19.97
서대문구,충현동,"1,817","24,246",13.34,"1,622","21,648","16,172",133.86
서대문구,북아현동,862,"2,420",2.81,"1,874","5,261","38,098",13.81
서대문구,신촌동,"3,901","37,647",9.65,"1,483","14,314","9,267",154.47
서대문구,연희동,"2,352","10,752",4.57,771,"3,525","13,554",26.01
마포구,소계,"37,290","247,276",6.63,"1,564","10,368","16,181",64.07
마포구,용강동,"2,566","18,813",7.33,"3,055","22,396","26,715",83.83
마포구,대흥동,"1,571","10,097",6.43,"1,785","11,474","15,426",74.38
마포구,염리동,726,"4,383",6.04,"1,688","10,193","31,363",32.5
마포구,신수동,"1,209","5,549",4.59,"1,550","7,114","30,612",23.24
마포구,서교동,"9,552","57,173",5.99,"5,789","34,650","15,756",219.92
마포구,합정동,"2,397","11,154",4.65,"1,394","6,485","11,135",58.24
마포구,망원1동,"1,899","5,293",2.79,"1,681","4,684","19,342",24.22
마포구,망원2동,"1,348","4,505",3.34,"2,012","6,724","28,934",23.24
마포구,연남동,"1,915","6,911",3.61,"2,992","10,798","26,489",40.77
마포구,성산1동,"1,534","11,155",7.27,"1,918","13,944","25,205",55.32
마포구,성산2동,"1,757","11,682",6.65,849,"5,643","20,063",28.13
마포구,상암동,"2,531","41,880",16.55,301,"4,986","3,915",127.36
마포구,도화동,"2,082","16,774",8.06,"3,358","27,055","36,442",74.24
마포구,서강동,"1,828","12,774",6.99,"1,261","8,810","18,043",48.82
마포구,공덕동,"2,756","18,197",6.6,"2,729","18,017","40,108",44.92
마포구,아현동,"1,619","10,936",6.75,"2,130","14,389","33,366",43.13
양천구,소계,"25,894","121,582",4.7,"1,487","6,983","26,553",26.3
양천구,목1동,"2,872","21,666",7.54,"2,037","15,366","22,818",67.34
양천구,목2동,"1,196","4,523",3.78,"1,161","4,391","30,560",14.37
양천구,목3동,"1,282","4,740",3.7,"2,419","8,943","43,575",20.52
양천구,목4동,"1,347","3,945",2.93,"2,363","6,921","47,209",14.66
양천구,신월1동,"1,765","5,183",2.94,"2,715","7,974","33,497",23.8
양천구,신월2동,"1,175","3,943",3.36,"1,926","6,464","36,272",17.82
양천구,신월3동,958,"4,019",4.2,"1,101","4,620","19,217",24.04
양천구,신월4동,"1,166","4,255",3.65,"2,242","8,183","36,588",22.36
양천구,신월5동,994,"4,849",4.88,"1,441","7,028","22,565",31.14
양천구,신월6동,"1,336","3,129",2.34,"3,259","7,632","16,134",47.3
양천구,신월7동,"1,324","5,406",4.08,"1,113","4,543","18,153",25.03
양천구,신정1동,"1,175","5,322",4.53,"1,679","7,603","30,896",24.61
양천구,신정2동,"1,091","3,806",3.49,"2,098","7,319","39,779",18.4
양천구,신정3동,"1,814","9,284",5.12,667,"3,413","17,703",19.28
양천구,신정6동,714,"6,916",9.69,744,"7,204","26,358",27.33
양천구,신정7동,"1,030","4,457",4.33,851,"3,683","25,540",14.42
양천구,목5동,"1,565","10,700",6.84,865,"5,912","23,728",24.91
양천구,신정4동,"3,090","15,439",5,"3,059","15,286","35,229",43.39
강서구,소계,"39,458","257,494",6.53,952,"6,214","14,437",43.04
강서구,염창동,"2,170","17,152",7.9,"1,247","9,857","24,471",40.28
강서구,등촌1동,"1,812","15,763",8.7,"3,071","26,717","40,198",66.46
강서구,등촌2동,737,"3,541",4.8,801,"3,849","23,770",16.19
강서구,등촌3동,"2,533","19,252",7.6,"3,206","24,370","41,147",59.23
강서구,화곡본동,"1,389","4,179",3.01,"1,251","3,765","32,359",11.63
강서구,화곡2동,855,"2,732",3.2,"1,819","5,813","41,462",14.02
강서구,화곡3동,"1,222","4,170",3.41,"2,396","8,176","44,529",18.36
강서구,화곡4동,"1,469","3,988",2.71,"1,791","4,863","26,883",18.09
강서구,화곡6동,"1,749","10,847",6.2,"1,562","9,685","22,427",43.18
강서구,화곡8동,"1,275","4,167",3.27,"2,406","7,862","50,017",15.72
강서구,가양1동,"5,790","56,353",9.73,"1,232","11,990","7,267",165
강서구,가양2동,633,"3,383",5.34,633,"3,383","15,140",22.34
강서구,가양3동,904,"7,374",8.16,913,"7,448","16,363",45.52
강서구,발산1동,"3,375","19,865",5.89,"1,140","6,711","13,009",51.59
강서구,공항동,"2,040","36,149",17.72,188,"3,326","2,600",127.91
강서구,방화1동,"2,621","11,003",4.2,"2,520","10,580","43,912",24.09
강서구,방화2동,"3,279","14,018",4.28,512,"2,187","3,752",58.28
강서구,방화3동,893,"4,698",5.26,375,"1,974","10,280",19.2
강서구,화곡1동,"3,048","10,879",3.57,"2,721","9,713","48,716",19.94
강서구,우장산동,"1,664","7,981",4.8,"1,224","5,868","32,947",17.81
구로구,소계,"38,756","225,668",5.82,"1,926","11,216","21,838",51.36
구로구,신도림동,"2,784","15,121",5.43,"1,894","10,286","25,298",40.66
구로구,구로1동,728,"3,603",4.95,714,"3,532","21,664",16.31
구로구,구로3동,"7,883","92,379",11.72,"7,728","90,568","25,775",351.38
구로구,구로4동,"2,133","6,044",2.83,"4,637","13,139","56,998",23.05
구로구,구로5동,"4,477","26,529",5.93,"4,347","25,756","32,452",79.37
구로구,고척1동,"2,541","10,116",3.98,"2,191","8,721","20,847",41.83
구로구,고척2동,"1,460","4,177",2.86,"1,431","4,095","28,382",14.43
구로구,개봉2동,"1,212","3,361",2.77,"1,515","4,201","41,295",10.17
구로구,개봉3동,"1,020","7,391",7.25,"1,259","9,125","27,167",33.59
구로구,오류1동,"1,187","4,795",4.04,"2,012","8,127","39,483",20.58
구로구,오류2동,"1,729","9,157",5.3,376,"1,991","11,630",17.12
구로구,수궁동,"1,258","6,199",4.93,471,"2,322","9,322",24.91
구로구,가리봉동,993,"3,179",3.2,"2,483","7,948","38,125",20.85
구로구,구로2동,"7,653","28,133",3.68,"4,348","15,985","20,005",79.91
구로구,개봉1동,"1,698","5,484",3.23,"1,296","4,186","25,828",16.21
금천구,소계,"33,814","242,686",7.18,"2,597","18,639","19,341",96.37
금천구,가산동,"16,661","170,886",10.26,"6,612","67,812","9,704",698.78
금천구,독산1동,"4,037","25,241",6.25,"1,932","12,077","20,976",57.58
금천구,독산2동,"1,154","3,514",3.05,"1,923","5,857","35,675",16.42
금천구,독산3동,"2,087","6,500",3.11,"2,268","7,065","32,517",21.73
금천구,독산4동,994,"3,130",3.15,"1,685","5,305","30,893",17.17
금천구,시흥1동,"3,078","15,728",5.11,"1,800","9,198","21,465",42.85
금천구,시흥2동,651,"2,009",3.09,517,"1,594","17,983",8.87
금천구,시흥3동,"3,167","10,083",3.18,"2,960","9,423","10,770",87.5
금천구,시흥4동,853,"2,034",2.38,980,"2,338","25,536",9.16
금천구,시흥5동,"1,132","3,561",3.15,814,"2,562","15,016",17.06
영등포구,소계,"42,370","373,478",8.81,"1,726","15,213","16,333",93.14
