구,행정동,한식 음식점업,용달 및 개별 화물 자동차 운송업,부동산 중개 및 대리업,의복소매업,생맥주 전문점 및 기타 주점업,두발미용업,슈퍼마켓 및 기타 음·식료품 위주 종합 소매업,김밥 및 기타 간이 음식점 및 간이음식 포장 판매업,커피 전문점 및 기타 비알콜 음료점업,가정용 세탁업,노래연습장 운영업,체인화 편의점,치킨전문점,자동차 전문 수리업,채소 과실 및 뿌리작물 소매업,육류소매업,중식음식점업,당구장 운영업,제과점업,컴퓨터 게임방 운영업
강남구,역삼1동,867,44,469,211,190,171,47,113,418,61,82,147,53,19,4,4,75,35,59,31
강남구,역삼2동,183,24,198,38,15,36,23,30,109,27,10,47,14,9,6,5,21,9,14,5
강남구,도곡1동,75,32,68,27,12,34,8,21,47,14,3,22,9,12,1,2,3,3,9,2
강남구,도곡2동,83,1,71,38,22,24,10,14,49,12,10,19,6,8,2,4,14,5,12,2
강남구,개포1동,5,22,20,3,-,5,4,1,4,4,-,2,-,-,1,1,1,-,-,-
강남구,개포4동,87,57,49,22,12,32,5,14,33,16,14,21,9,27,1,7,7,8,6,4
강남구,일원본동,15,12,40,6,3,25,11,7,12,12,-,12,2,1,2,3,1,-,6,1
강남구,일원1동,74,60,26,13,24,26,10,13,22,9,19,10,9,12,6,5,4,6,3,6
강남구,일원2동,24,12,30,11,3,10,5,6,13,6,-,5,2,-,-,5,4,-,2,1
강남구,수서동,89,43,45,7,10,20,7,14,30,10,3,17,7,1,1,2,7,2,9,1
강남구,세곡동,73,118,62,7,11,25,21,15,39,15,3,18,17,11,2,8,4,1,8,3
강남구,압구정동,223,4,80,295,83,130,20,54,119,18,12,40,14,2,5,5,23,6,26,7
강남구,청담동,186,12,133,133,54,148,17,37,92,24,8,48,13,9,3,7,21,3,25,5
강남구,대치2동,201,15,120,120,24,54,34,39,103,19,6,35,16,10,11,9,18,6,15,5
강남구,개포2동,43,21,109,7,10,26,10,9,12,11,7,9,7,3,6,5,2,5,4,1
송파구,소계,"2,672","2,841","1,677","1,594",732,"1,137",348,634,"1,124",413,530,481,334,234,119,193,218,146,294,111
송파구,풍납1동,56,80,24,12,13,27,9,10,10,10,10,8,7,5,7,9,3,1,5,3
송파구,풍납2동,50,64,47,18,12,28,12,14,26,20,13,12,12,6,2,4,3,2,5,4
송파구,거여1동,46,95,25,7,16,30,8,12,16,9,14,10,8,5,6,7,4,5,4,4
송파구,거여2동,42,89,35,10,12,26,8,9,13,14,10,7,8,3,-,5,1,4,7,4
송파구,마천1동,62,177,51,15,31,33,14,13,14,12,9,12,6,5,4,8,3,4,2,3
송파구,마천2동,79,165,32,52,23,46,17,21,13,13,11,9,10,5,10,14,5,7,8,4
송파구,방이1동,108,45,36,20,18,41,7,12,50,12,15,17,13,12,-,2,6,7,9,2
송파구,방이2동,259,87,90,26,111,46,14,36,56,24,55,29,24,13,9,10,24,18,13,10
송파구,오륜동,14,3,21,64,2,12,10,4,11,5,-,8,3,2,3,3,2,-,5,1
송파구,오금동,120,176,72,26,34,59,25,16,61,25,15,30,19,39,2,14,8,9,14,6
송파구,송파1동,112,457,63,35,50,65,12,23,88,21,31,22,12,10,2,6,14,12,20,5
송파구,송파2동,32,30,45,24,7,36,12,35,18,11,1,10,7,4,4,10,3,-,13,3
송파구,석촌동,181,101,123,37,55,87,23,47,72,32,55,38,29,15,7,11,11,10,17,6
송파구,삼전동,124,109,80,21,34,76,14,32,55,27,23,27,22,24,2,12,8,13,14,7
송파구,가락본동,243,69,80,34,67,54,17,37,73,20,130,32,25,17,8,4,12,18,11,10
송파구,가락1동,61,17,67,7,10,13,17,10,12,5,-,11,3,3,4,4,2,-,5,-
송파구,가락2동,94,98,74,45,22,70,19,20,41,23,29,14,15,17,6,11,9,6,14,8
송파구,문정1동,77,65,71,59,8,48,12,13,34,14,20,12,12,16,-,6,7,4,5,1
송파구,문정2동,272,31,191,365,39,51,15,62,161,21,6,49,21,6,3,4,26,3,24,8
송파구,장지동,64,156,53,6,23,42,11,12,31,14,12,19,16,11,1,11,7,5,10,4
송파구,위례동,41,45,48,15,3,26,7,19,22,4,1,12,10,-,4,5,6,-,11,1
송파구,잠실본동,304,55,101,32,131,96,16,54,82,31,67,41,35,15,15,7,20,16,21,17
송파구,잠실4동,5,18,45,9,1,15,8,10,8,7,-,5,2,-,3,7,1,-,4,-
송파구,잠실6동,146,566,38,213,7,36,14,45,87,10,3,21,7,-,3,2,22,2,19,-
송파구,잠실7동,4,3,15,13,-,9,8,2,5,5,-,4,1,-,2,5,2,-,3,-
송파구,잠실2동,24,13,62,68,1,31,7,21,15,9,-,10,3,-,7,7,-,-,12,-
송파구,잠실3동,52,27,88,361,2,34,12,45,50,15,-,12,4,1,5,5,9,-,19,-
강동구,소계,"1,829","1,933","1,188",876,629,900,289,421,604,291,260,314,218,192,162,161,135,124,213,95
강동구,강일동,33,169,29,2,1,23,10,11,13,13,2,17,8,4,-,4,2,2,9,4
강동구,상일동,69,137,62,4,14,14,12,9,19,11,10,11,6,6,3,4,9,3,5,3
