기준_년_코드,기준_분기_코드,행정동_코드,행정동_코드_명,상권_변화_지표,상권_변화_지표_명,운영_영업_개월_평균,폐업_영업_개월_평균,서울_운영_영업_개월_평균,서울_폐업_영업_개월_평균,보정영업지수1,보정영업지수2,보정영업지수3,보정영업지수4
2019,4,11305590,번1동,LL,다이나믹,101,47,110,54,0.214533906,0.023012398,0.00246847,0.000264785
2019,4,11305575,삼각산동,LL,다이나믹,91,50,110,54,1.609004297,0.172592989,0.018513524,0.001985889
2019,4,11305555,송천동,HH,정체,114,55,110,54,-0.30051633,-0.030103355,-0.003015517,-0.000302071
2019,4,11305545,송중동,LL,다이나믹,100,51,110,54,0.750868672,0.080543395,0.008639645,0.000926748
2019,4,11305535,미아동,LL,다이나믹,103,49,110,54,0.214533906,0.023012398,0.00246847,0.000264785
2019,4,11305534,삼양동,HL,상권축소,114,53,110,54,-1.140144159,-0.259985741,-0.059284245,-0.013518517
2019,4,11290810,석관동,HH,정체,125,55,110,54,-1.40240954,-0.140482323,-0.014072411,-0.001409663
2019,4,11290780,장위3동,HH,정체,123,65,110,54,-0.20034422,-0.020068903,-0.002010344,-0.00020138
2019,4,11290770,장위2동,HH,정체,139,60,110,54,-2.303958529,-0.230792387,-0.02311896,-0.002315875
2019,4,11290760,장위1동,HH,정체,122,58,110,54,-0.80137688,-0.080275613,-0.008041378,-0.000805522
2019,4,11290725,월곡2동,LH,상권확장,104,54,110,54,1.025414332,0.175245759,0.029949919,0.005118513
2019,4,11290715,월곡1동,HL,상권축소,120,51,110,54,-2.964374813,-0.675962926,-0.154139036,-0.035148144
2019,4,11290705,종암동,HH,정체,111,58,110,54,0.30051633,0.030103355,0.003015517,0.000302071
2019,4,11290685,길음2동,LH,상권확장,102,57,110,54,1.879926276,0.321283891,0.054908184,0.00938394
2019,4,11290660,길음1동,HH,정체,114,60,110,54,0.20034422,0.020068903,0.002010344,0.00020138
2019,4,11290650,정릉4동,LH,상권확장,105,56,110,54,1.196316721,0.204453385,0.034941572,0.005971598
2019,4,11290640,정릉3동,HH,정체,113,60,110,54,0.30051633,0.030103355,0.003015517,0.000302071
2019,4,11290630,정릉2동,HH,정체,115,61,110,54,0.20034422,0.020068903,0.002010344,0.00020138
2019,4,11290620,정릉1동,HH,정체,111,55,110,54,0,0,0,0
2019,4,11290610,보문동,HH,정체,116,54,110,54,-0.60103266,-0.06020671,-0.006031033,-0.000604141
2019,4,11290600,안암동,LH,상권확장,101,56,110,54,1.879926276,0.321283891,0.054908184,0.00938394
2019,4,11290590,돈암2동,LL,다이나믹,106,51,110,54,0.107266953,0.011506199,0.001234235,0.000132393
2019,4,11290580,돈암1동,LH,상권확장,108,55,110,54,0.512707166,0.087622879,0.014974959,0.002559256
