구,행정동,사업체수,종사자수,평균종사자,사업체_창업률
강동구,강일동,962,"17,586",18.28,12.47
강동구,상일동,918,"5,176",5.64,12.96
강동구,명일1동,"1,739","6,643",3.82,13.11
강동구,명일2동,987,"3,944",4,14.69
강동구,고덕1동,732,"2,670",3.65,12.16
강동구,고덕2동,677,"2,548",3.76,29.25
강동구,암사2동,838,"3,711",4.43,14.68
강동구,암사3동,576,"2,185",3.79,14.24
강동구,천호1동,"1,534","5,332",3.48,13.3
강동구,천호3동,"1,830","7,474",4.08,14.48
강동구,성내1동,"2,048","17,777",8.68,13.53
강동구,성내2동,"1,836","6,770",3.69,15.36
강동구,성내3동,"2,439","9,117",3.74,14.35
강동구,둔촌1동,17,283,16.65,11.76
강동구,둔촌2동,"1,553","9,463",6.09,11.65
강동구,암사1동,"1,918","5,646",2.94,14.65
강동구,천호2동,"3,439","14,208",4.13,15
강동구,길동,"5,037","21,237",4.22,12.23
