animals,unit,geo\time	2022 	2021 	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 
A2300F,HD,ME	56 	50 	43 	57 	22 	18 	10 	: 	: 	: 	: 
A2300F,HD,MT	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A2300F,HD,NL	: 	41631 	40041 	37902 	37180 	31883 	28368 	25385 	24701 	24462 	22930 
A2300F,HD,NO	: 	7613 	7781 	7932 	8353 	8340 	8350 	8287 	8226 	9094 	9097 
A2300F,HD,PL	: 	12143 	12061 	10983 	10983 	11377 	11866 	11106 	13164 	18841 	20015 
A2300F,HD,PT	: 	4689 	5043 	2 	20 	51 	201 	: 	: 	: 	: 
A2300F,HD,RO	: 	14807 	12837 	13882 	12561 	12472 	15171 	21667 	: 	: 	: 
A2300F,HD,RS	: 	: 	1514 	1233 	1298 	2004 	2164 	2182 	: 	0 	: 
A2300F,HD,SE	: 	57298 	57187 	56744 	58702 	52908 	49062 	47652 	46902 	48193 	47610 
A2300F,HD,SK	: 	5822 e	5431 	5759 	5500 	4544 	6352 	6394 	5789 	5296 	5523 
A2300F,HD,TR	: 	7905 	: 	: 	1908 	2383 	3127 	3505 	5530 	31760 	: 
A2300F,HD,UK	: 	: 	: 	89839 	88344 	77059 	81368 	76638 	75440 	70135 	72013 
A2900,HD,AT	: 	: 	279176 	283237 	284829 	286404 	264925 	145102 	275421 	: 	: 
A2900,HD,BE	: 	: 	81488 	78006 	77924 	81436 	69226 	63779 	59210 	62102 	: 
A2900,HD,BG	: 	: 	739 	309 	980 	2746 	1442 	663 	8 	240 	456 
A2900,HD,CY	: 	: 	65 	135 	68 	252 	69 	0 	0 	0 	0 
A2900,HD,CZ	: 	: 	251538 	237574 	234767 	235006 	226794 	217504 	203698 	192788 	181917 
A2900,HD,DE	: 	: 	532268 	549647 	493951 	503016 	449273 	436054 	429500 	416700 	391162 
A2900,HD,DK	: 	: 	24537 	25636 	25564 	23815 	20468 	19643 	23253 	23992 	: 
A2900,HD,EE	: 	: 	18758 	16810 	16810 	16219 	14904 	13286 	11669 	9532 	9282 
A2900,HD,EL	: 	: 	77908 	71292 	74361 	52029 	45140 	40304 	44183 	44768 	44840 
A2900,HD,ES	: 	: 	6462 	5728 	6944 	8003 	6419 	8504 	5645 	17311 	17358 
A2900,HD,EU	: 	: 	: 	: 	2411726 	2381098 	2166443 	: 	: 	: 	: 
A2900,HD,EU27_2020	: 	: 	: 	: 	2291997 	2273327 	2049938 	: 	: 	: 	: 
A2900,HD,EU28	: 	: 	: 	: 	2411726 	2381098 	2166443 	: 	: 	: 	: 
A2900,HD,FI	: 	: 	40231 	36598 	36155 	33702 	30413 	30121 	27033 	25704 	25997 
A2900,HD,FR	: 	: 	460804 e	399190 e	413172 	354702 	305949 	276102 	260935 	284712 	232122 
A2900,HD,HR	: 	: 	20448 	19588 	16806 	11908 	10109 	4427 	3577 	1634 	1267 
A2900,HD,HU	: 	: 	3337 	3459 	4313 	3033 	2707 	1976 	2129 	1650 	2442 
A2900,HD,IE	: 	: 	39588 	42717 	41783 	43440 	34784 	32648 	24251 	25083 	26798 
A2900,HD,IS	: 	: 	113 	147 	124 	135 	: 	: 	: 	: 	: 
A2900,HD,IT	: 	: 	80626 	: 	127835 	126797 	110370 	106071 	99957 	105093 	91250 
A2900,HD,LT	: 	: 	32359 	32309 	32098 	32148 	18964 	19475 	11829 	12170 	10254 
A2900,HD,LU	: 	: 	3317 	3206 	3361 	2991 	2771 	2545 	2405 	2315 	2107 
A2900,HD,LV	: 	: 	50831 	49388 	48928 	49373 	48525 	42411 	39969 	43186 	33858 
A2900,HD,ME	: 	: 	178 	276 	0 	0 	10 	: 	: 	: 	: 
A2900,HD,MK	: 	: 	: 	: 	: 	: 	: 	: 	0 	26 	: 
A2900,HD,MT	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A2900,HD,NL	: 	: 	26699 	25084 	25609 	24500 	23497 	23190 	19261 	18641 	17080 
A2900,HD,PL	: 	: 	10700 	10883 	8484 	8428 	8808 	11646 	13927 	: 	: 
A2900,HD,PT	: 	: 	3551 	7812 	6068 	70390 	71815 	: 	: 	: 	: 
A2900,HD,RO	: 	: 	6343 	5050 	3610 	6386 	4444 	7155 	9632 	8924 	3656 
A2900,HD,RS	: 	: 	1678 	1059 	1184 	: 	386 	411 	: 	1853 	: 
A2900,HD,SE	: 	: 	227749 	229936 	226404 	210213 	203333 	199041 	197272 	198629 	140506 
A2900,HD,SI	: 	: 	37904 	37126 	35751 	35095 	33397 	30592 	27359 	25168 	22977 
A2900,HD,SK	: 	: 	52506 	23122 	43537 	51295 	41392 	38205 	30258 	29326 	25576 
