crops,unit,geo\time	2022 	2021 	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 
C1300,T,NL	: 	5681 	4136 	3477 	3101 	2139 	3385 e	3028 	2660 	3297 	2724 
C1300,T,PL	: 	4895 	5929 	5428 	5111 	5299 	5241 	4742 	4021 	3746 	4702 
C1300,T,RO	: 	27748 	18874 	16073 	6831 	10657 	10571 	20259 	34916 	13476 	5158 
C1300,T,RS	: 	: 	1743 	1796 	2027 	1613 	1074 	602 	34 	703 	: 
C1300,T,SE	: 	50300 	68100 	74800 	44800 	58600 	44800 	43100 	47100 	53900 	31000 
C1300,T,SI	: 	: 	943 	859 	815 	744 	866 	461 	561 	428 	409 
C1300,T,SK	: 	2973 e	4038 	5749 	4193 	2714 	2850 	2840 	3082 	3540 	4624 
C1300,T,TR	: 	61939 	74948 	63099 	56337 	49420 	45941 	43928 	36987 	27626 	: 
C1300,T,UK	: 	: 	: 	38513 	35123 	32723 	45391 	40704 	43026 	50532 	: 
C1400,T,AL	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
C1400,T,BE	: 	4656 	4612 	3553 	3756 	4256 	2620 	: 	: 	: 	: 
C1400,T,BG	715 	508 	1691 	355 	235 	429 	148 	204 	209 	142 	: 
C1400,T,CY	: 	0 	0 	0 	0 	0 	0 	0 	0 	306 	: 
C1400,T,CZ	: 	29303 	20795 	16973 	14318 	15944 	10560 	12289 	12640 	12535 	13515 
C1400,T,EE	52760 	36968 	57180 	54018 	33531 	37795 	24316 	20294 	16643 	19518 	16615 
C1400,T,EL	: 	: 	8235 	8922 	8181 	8799 	10703 	8284 	5492 	3390 	: 
C1400,T,ES	: 	84253 	120627 	80850 	77364 	57594 	39157 	53432 	39329 	42061 	40465 
C1400,T,FI	: 	73600 	90900 	82700 	50200 	63300 	51100 	52300 	40500 	46100 	38590 
C1400,T,FR	: 	42993 d	29738 e	34237 	24483 	26477 	: 	: 	: 	: 	: 
C1400,T,HR	: 	2980 	2982 	2633 	2206 	3184 	3437 	1776 	1474 	1197 	813 
C1400,T,HU	: 	5250 e	4421 	3149 	2016 	1638 	1104 	1237 	2344 	2511 	2993 
C1400,T,IE	: 	7553 e	5139 	4415 	3340 	3363 	3443 	3826 	: 	: 	: 
C1400,T,IS	: 	: 	0 	0 	: 	: 	: 	: 	: 	: 	: 
C1400,T,IT	: 	: 	: 	: 	: 	46146 	33620 	30582 	29485 	: 	59232 
C1400,T,LT	: 	61095 	91875 	59310 	68684 	58396 	34469 	26385 	28129 	27771 	19028 
C1400,T,LU	: 	649 	783 	787 	634 	738 	435 	240 	: n	: n	: n
C1400,T,LV	: 	45073 	61265 	47722 	: 	32293 	23408 	22563 	21924 	22987 	18820 
C1400,T,ME	6 	3 	: 	: 	: 	: 	: 	: 	: 	: 	: 
C1400,T,MK	: 	187 	: 	: 	: 	: 	: 	: 	: 	: 	: 
C1400,T,MT	: 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 
C1400,T,NL	: 	3576 	3689 	3229 	2746 	1661 	2611 e	2296 	2578 	1931 	2435 
C1400,T,PL	: 	74989 	79159 	62652 	54340 	47672 	36034 	25935 	22927 	21094 	20528 
C1400,T,RO	: 	2949 	1528 	1710 	1463 	2821 	3586 	3486 	2394 	1568 	2417 
C1400,T,RS	: 	: 	477 	727 	609 	23 	503 	50 	59 	22 	: 
C1400,T,SE	: 	91400 	155100 	114200 	59100 	99900 	108200 	73100 	59300 	: 	58000 
C1400,T,SI	: 	: 	638 	846 	654 	515 	358 	447 	396 	414 	256 
C1400,T,SK	: 	5943 e	6257 	3421 	8453 	8515 	6581 	3483 	3409 	4460 	3470 
C1400,T,TR	: 	44069 	39563 	49006 	46020 	14698 	3627 	2639 	1474 	1124 	: 
C1400,T,UK	: 	: 	: 	50619 	48754 	33364 	45678 	40239 	30866 	30652 	: 
C1500,T,AL	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
C1500,T,BE	: 	5883 	7565 	5222 	4502 	1766 	836 	: 	: 	: 	: 
C1500,T,BG	2875 	2095 	3866 	6712 	6676 	1818 	955 	976 	2216 	373 	: 
C1500,T,CY	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 
