firmid,operprofit20,ros20,allemp19,parttimeratio19,select19,traintime19,pm19,incentive19,union19,laborconflict19,innovation_strat19,turnover19,newturnover19
182,36573743,3.28,510,0.043137255,4,48,2,0,1,2,0,0.139344262,0
183,11856809,7.16,382,0.078534031,4,100,5,113,0,1,1,0.002840909,0
184,-1425080,-9.07,111,0.063063063,3,24,2,10,0,2,1,0.096153846,0.076923077
185,-420738,-4.13,210,0,4,21,0,100,0,3,0,0.19047619,0.057142857
186,703303611,41.62,2046,0.011730205,5,30,5,300,0,2,1,0.03115727,0.007912957
187,655914,3.84,348,0,4,40,4,100,1,3,0,0.037356322,0
188,23093461,4.45,688,0.050872093,4,24,2,50,1,2,1,0.016845329,0.033690658
189,5579265,3.08,327,0.012232416,3,13,2,100,0,1,0,0.049535604,0.003095975
190,-10249002,-20.34,200,0,3,18,1,26,0,1,0,0.04,0.055
191,-2957465,-5.96,160,0,6,80,6,10,0,2,0,0,0
192,4556807,2.87,164,0.085365854,3,6,3,50,0,2,0,0.086666667,0
193,-17244340,-62.35,661,0.003025719,4,3,0,0,1,3,0,0.139605463,0
194,1141830,2.8,110,0,2,39,0,10,0,3,0,0.063636364,0.1
195,7329167,2.46,414,0.036231884,3,13,4,0,0,3,1,0.125313283,0.05764411
196,2107653,1.2,491,0,3,10,1,5,0,2,0,0.429735234,0.199592668
197,9465014,7.53,393,0.06870229,3,36,0,100,0,1,0,0.027322404,0.068306011
198,5858320,1.09,699,0.012875536,4,45,3,12,0,2,0,0.034782609,0.002898551
199,3184982,4.16,331,0.01510574,3,15,2,200,1,2,0,0,0.006134969
200,2571458,2.17,190,0,3,46,2,400,0,2,0,0.073684211,0.031578947
201,284230,1.51,210,0,4,12,3,100,0,2,1,0.238095238,0.028571429
202,37957783,22.34,221,0,4,32,6,600,0,1,0,0.140271493,0.140271493
203,323322,0.29,350,0,3,32,0,60,1,2,0,0.06,0
204,14572920,8.67,401,0.08478803,3,65,2,200,0,3,0,0.027247956,0.010899183
205,1492555,1.97,211,0,3,30,4,100,0,1,0,0.142180095,0.023696682
206,3769250,2.08,466,0,3,30,0,800,1,2,0,0.040772532,0.002145923
207,-2269143,-4.74,260,0.180769231,3,9,0,0,1,1,0,0.009389671,0
208,14081952,3.05,213,0,4,24,2,0,0,2,0,0.009389671,0
209,39143418,18.89,276,0,3,20,2,250,0,1,1,0.032608696,0.003623188
210,-4294081,-4.5,499,0.042084168,4,34,2,520,0,2,0,0.039748954,0.073221757
211,9042111,6.24,196,0,3,26,0,100,1,3,0,0.045918367,0.005102041
212,5161963,4.57,240,0,3,4,0,0,1,3,0,0.016666667,0
213,6368664,7.76,386,0.031088083,3,70,2,100,1,2,0,0.061497326,0
214,20569406,2.48,800,0.01875,4,15,3,0,1,3,0,0.030573248,0
